Main Effects
Parameters3&37:	    0.5204[1.9863]
Parameters3&38:	    0.5490[1.9612]
Parameters3&39:	    1.0213[2.3790]
Parameters3&40:	    0.8117[2.3016]
Parameters3&41:	    0.4883[1.8003]
Parameters3&42:	    0.0843[1.4382]
Parameters3&43:	    1.4350[2.6588]
Parameters3&44:	    1.2452[2.6623]
Parameters3&45:	    0.3967[1.7768]
Parameters3&46:	    0.8003[2.3071]
Parameters3&47:	    0.3400[2.1380]
Parameters3&48:	    0.6728[2.0275]
Parameters3&49:	    0.4560[2.0252]
Parameters3&50:	    0.2389[1.4960]
Parameters3&51:	    1.7997[2.9927]
Parameters3&52:	    6.3925[5.4105]
Parameters3&53:	    2.2355[3.5292]
Parameters3&54:	    0.2662[1.6766]
Parameters3&55:	    0.6620[2.0740]
Parameters3&56:	    0.5773[1.9370]
Parameters3&57:	    0.6104[1.9127]
Parameters3&58:	    0.4185[1.8965]
Parameters3&59:	    0.0836[1.4295]
Parameters3&60:	    0.1765[1.6811]
Parameters3&61:	    0.1525[1.5993]
Parameters3&62:	    0.4766[2.0980]
Parameters3&63:	    3.7403[4.1731]
Parameters3&64:	    0.7213[2.0929]
Parameters3&65:	    1.8864[3.0048]
Parameters3&66:	    0.1992[1.6016]
Parameters3&67:	    0.3270[1.6270]
Parameters3&68:	    1.2083[2.6192]
Parameters3&69:	    1.4353[2.6467]
Parameters3&70:	    0.0862[1.3551]
Parameters3&71:	    1.3988[2.6305]
Parameters3&72:	    0.0611[1.2895]
Parameters3&73:	    0.2687[1.5543]
Parameters3&74:	    2.6319[3.6496]
Parameters3&75:	    0.8029[2.1918]
Parameters3&76:	    1.7962[3.0048]
Parameters3&77:	    0.6243[2.2416]
Parameters3&78:	    0.4282[2.1263]
Parameters3&79:	    1.7107[3.0995]
Parameters3&80:	    0.2762[1.9389]
Parameters3&81:	    0.9196[2.4343]
Parameters3&82:	    1.5324[2.6683]
Parameters3&83:	    0.2743[1.9080]
Parameters3&84:	    2.7247[3.8805]
Parameters3&85:	    0.2627[1.5720]
Parameters3&86:	    0.8118[2.2094]
Parameters3&87:	    2.0964[3.2805]
Parameters3&88:	    0.5414[2.3154]
Parameters3&89:	    1.3254[2.5298]
Parameters3&90:	    0.1021[1.2620]
Parameters3&91:	    1.1546[2.4409]
Parameters3&92:	    0.7716[2.3710]
Parameters3&93:	    1.3282[2.5975]
Parameters3&94:	    1.3686[2.7350]
Parameters3&95:	    3.8109[3.9650]
Parameters3&96:	    1.2625[2.3939]
Parameters3&97:	    6.0203[4.8541]
Parameters3&98:	    2.9371[3.7361]
Parameters3&99:	    0.1661[1.3505]
Parameters3&100:	    0.8297[2.1236]
Parameters3&101:	    0.6740[1.9996]
Parameters3&102:	    0.2147[1.6107]
Parameters3&103:	    0.4130[2.0813]
Parameters4&5:	    0.6374[1.8884]
Parameters4&6:	    0.7567[2.1518]
Parameters4&7:	    1.2235[2.5015]
Parameters4&8:	    0.8155[2.1062]
Parameters4&9:	    0.9094[2.3456]
Parameters4&10:	    4.1615[3.6422]
Parameters4&11:	    0.2594[1.7658]
Parameters4&12:	    2.5140[3.1596]
Parameters4&13:	    0.5329[2.1182]
Parameters4&14:	    0.8356[2.3462]
Parameters4&15:	    0.1336[1.5833]
Parameters4&16:	    0.3703[1.6401]
Parameters4&17:	    0.5560[2.0925]
Parameters4&18:	    0.5773[1.9378]
Parameters4&19:	    0.6853[1.9950]
Parameters4&20:	    0.9069[2.4339]
Parameters4&21:	    0.8041[2.3073]
Parameters4&22:	    1.4281[2.5439]
Parameters4&23:	    1.6753[2.7538]
Parameters4&24:	    1.0291[2.4098]
Parameters4&25:	    0.2537[1.7960]
Parameters4&26:	    0.6137[2.0039]
Parameters4&27:	    0.5338[2.0006]
Parameters4&28:	    1.1172[2.4862]
Parameters4&29:	    0.1727[1.5548]
Parameters4&30:	    0.5123[1.9416]
Parameters4&31:	    3.5903[3.7913]
Parameters4&32:	    1.3873[2.6689]
Parameters4&33:	    0.6489[2.0968]
Parameters4&34:	    0.9721[2.3894]
Parameters4&35:	    0.3495[1.6457]
Parameters4&36:	    1.2240[2.7067]
Parameters4&37:	    0.2663[1.5749]
Parameters4&38:	    0.3568[1.5783]
Parameters4&39:	    0.3995[1.6998]
Parameters4&40:	    0.6523[2.0999]
Parameters4&41:	    0.9058[2.2494]
Parameters4&42:	    0.5802[1.9898]
Parameters4&43:	    0.4202[1.6989]
Parameters4&44:	    0.9554[2.7322]
Parameters4&45:	    0.7629[2.1707]
Parameters4&46:	    0.5489[2.1582]
Parameters4&47:	    0.7194[2.1588]
Parameters4&48:	    0.6473[2.0133]
Parameters4&49:	    2.6019[3.5197]
Parameters4&50:	    0.6013[1.7927]
Parameters4&51:	    1.4404[2.8197]
Parameters4&52:	    0.7071[1.9709]
Parameters4&53:	    0.7506[2.5828]
Parameters4&54:	    0.5297[1.7954]
Parameters4&55:	    0.1543[1.7826]
Parameters4&56:	    0.8946[2.3743]
Parameters4&57:	    0.2756[1.4463]
Parameters4&58:	    0.6094[2.1325]
Parameters4&59:	    1.0508[2.3670]
Parameters4&60:	    0.2338[1.7422]
Parameters4&61:	    0.4983[1.8788]
Parameters4&62:	    0.3590[1.6927]
Parameters4&63:	    0.9687[2.3053]
Parameters4&64:	    0.5041[1.9599]
Parameters4&65:	    0.3150[1.5717]
Parameters4&66:	    2.9005[3.5594]
Parameters4&67:	    0.3938[1.8614]
Parameters4&68:	    0.5945[1.8596]
Parameters4&69:	    0.1244[1.5400]
Parameters4&70:	    0.0979[1.3831]
Parameters4&71:	    0.2305[1.5300]
Parameters4&72:	    0.7943[2.0817]
Parameters4&73:	    1.1956[2.5015]
Parameters4&74:	    0.3314[1.8678]
Parameters4&75:	    0.6190[1.9756]
Parameters4&76:	    1.2549[2.5755]
Parameters4&77:	    1.1014[2.6197]
Parameters4&78:	    0.9071[2.3242]
Parameters4&79:	    0.4590[1.7817]
Parameters4&80:	    0.5850[2.0169]
Parameters4&81:	    0.3959[1.7821]
Parameters4&82:	    4.1471[4.2594]
Parameters4&83:	    0.3748[1.7039]
Parameters4&84:	    1.1394[2.6176]
Parameters4&85:	    1.2051[2.6798]
Parameters4&86:	    0.3749[1.5948]
Parameters4&87:	    0.2137[1.5600]
Parameters4&88:	    1.9425[2.7586]
Parameters4&89:	    0.9676[2.1845]
Parameters4&90:	    4.6708[4.4370]
Parameters4&91:	    0.6317[2.0154]
Parameters4&92:	    1.0794[2.4209]
Parameters4&93:	    0.6012[2.1759]
Parameters4&94:	    0.9103[2.3487]
Parameters4&95:	    2.7224[3.5370]
Parameters4&96:	    0.0982[1.3605]
Parameters4&97:	    0.6308[1.8885]
Parameters4&98:	    1.4920[2.6683]
Parameters4&99:	    0.9627[2.2637]
Parameters4&100:	    3.5554[3.7873]
Parameters4&101:	    0.5493[1.8690]
Parameters4&102:	    0.1090[1.3228]
Parameters4&103:	    1.6448[3.0943]
Parameters5&6:	    1.8731[3.1827]
Parameters5&7:	    1.0877[2.4122]
Parameters5&8:	    0.4386[1.8028]
Parameters5&9:	    0.5462[2.0074]
Parameters5&10:	    0.4334[1.7492]
Parameters5&11:	    0.5611[1.7871]
Parameters5&12:	    0.4516[1.9471]
Parameters5&13:	    1.0776[2.3791]
Parameters5&14:	    0.5825[2.0497]
Parameters5&15:	    0.5035[1.8489]
Parameters5&16:	    0.8819[2.3164]
Parameters5&17:	    1.1962[3.0558]
Parameters5&18:	    5.0621[5.2904]
Parameters5&19:	    1.4714[3.0013]
Parameters5&20:	    0.3639[1.7324]
Parameters5&21:	    1.4772[2.7649]
Parameters5&22:	    3.5792[4.4181]
Parameters5&23:	    0.9005[2.5342]
Parameters5&24:	    1.5107[3.3717]
Parameters5&25:	    3.6005[4.5449]
Parameters5&26:	    0.8381[2.2708]
Parameters5&27:	    1.1595[2.4743]
Parameters5&28:	    0.1074[1.4418]
Parameters5&29:	    0.3299[1.7052]
Parameters5&30:	    0.2242[1.5706]
Parameters5&31:	    0.3439[1.7550]
Parameters5&32:	    0.6076[1.9849]
Parameters5&33:	    0.4614[1.8054]
Parameters5&34:	    0.6808[1.8456]
Parameters5&35:	    0.5161[1.9865]
Parameters5&36:	    1.0093[2.2857]
Parameters5&37:	    0.5597[2.1033]
Parameters5&38:	    1.0363[2.4534]
Parameters5&39:	    1.5101[2.8967]
Parameters5&40:	    1.3550[2.9419]
Parameters5&41:	    0.3076[1.8525]
Parameters5&42:	    0.2850[2.0453]
Parameters5&43:	    0.6505[2.0607]
Parameters5&44:	    4.0605[4.5481]
Parameters5&45:	    0.5834[2.1139]
Parameters5&46:	    1.1211[2.4489]
Parameters5&47:	    0.8279[2.1822]
Parameters5&48:	    0.7756[2.1560]
Parameters5&49:	    1.4160[2.7666]
Parameters5&50:	    1.6923[2.7653]
Parameters5&51:	    1.3217[2.6636]
Parameters5&52:	    1.3587[2.5863]
Parameters5&53:	    0.4916[1.8931]
Parameters5&54:	    0.8061[1.9560]
Parameters5&55:	    1.4847[2.8785]
Parameters5&56:	    0.4125[1.7401]
Parameters5&57:	    1.7051[2.7489]
Parameters5&58:	    1.1906[2.4331]
Parameters5&59:	    0.4091[1.9092]
Parameters5&60:	    0.9701[2.5731]
Parameters5&61:	    0.8646[2.1673]
Parameters5&62:	    0.5718[2.2353]
Parameters5&63:	    0.3176[1.8771]
Parameters5&64:	    1.0955[2.4181]
Parameters5&65:	    0.3290[1.7061]
Parameters5&66:	    0.3465[1.6890]
Parameters5&67:	    0.3185[1.6426]
Parameters5&68:	    1.0333[2.2816]
Parameters5&69:	    0.1233[1.3358]
Parameters5&70:	    0.5984[2.1775]
